llm_model,embed_provider,chunking_strategy,retrieval_strategy,hit_rate,mrr,faithfulness_score,relevancy_score
mistral-medium,text-embedding-3-large,base,vector,0.6655844155844156,0.5892857142857143,1.0,0.8
mistral-medium,text-embedding-3-large,base,bm25,0.6396103896103896,0.5746753246753247,1.0,0.7
mistral-medium,text-embedding-3-large,base,hybrid,0.827922077922078,0.6358225108225107,1.0,0.8
gpt-3.5-turbo,text-embedding-3-large,base,vector,0.6655844155844156,0.5909090909090909,0.8,0.8
gpt-3.5-turbo,text-embedding-3-large,base,bm25,0.6396103896103896,0.5746753246753247,0.9,0.8
gpt-3.5-turbo,text-embedding-3-large,base,hybrid,0.827922077922078,0.635551948051948,0.9,0.9
mistral-medium,embed-english-v3.0,base,vector,0.6688311688311688,0.5827922077922078,1.0,0.9
mistral-medium,embed-english-v3.0,base,bm25,0.6396103896103896,0.5746753246753247,1.0,0.8
mistral-medium,embed-english-v3.0,base,hybrid,0.7987012987012987,0.625,1.0,0.9
gpt-3.5-turbo,embed-english-v3.0,base,vector,0.6688311688311688,0.5827922077922078,1.0,0.9
gpt-3.5-turbo,embed-english-v3.0,base,bm25,0.6396103896103896,0.5746753246753247,0.9,0.8
gpt-3.5-turbo,embed-english-v3.0,base,hybrid,0.7987012987012987,0.625,1.0,1.0
